site,month,net,adult#,matureF#,matureM#,adultIM#,juv#,larv#,adultCpue,matureFCpue,matureMCpue,adultIMCpue,juvCpue,larvDen
ABY,5,LT1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,5,LT2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,6,LT1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,6,LT2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0.5
ABY,7,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.142857143
ABY,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,8,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.125
ABY,8,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
BLH,5,LTshallow,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1.4
BLH,5,LT1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
BLH,6,LT1,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,4
BLH,6,LT2,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,3.333333333
BLH,7,LTshallow,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0.571428571
BLH,7,LTdeep,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,3.714285714
BLH,8,LTshallow,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.25
BLH,8,LTdeep,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.25
DAG,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
DAG,5,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.2
DAG,6,LTshallow,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,10
DAG,6,LTdeep,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0.666666667
DAG,7,LTshallow,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0.714285714
DAG,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
DAG,8,LTshallow,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0.625
DAG,8,LTdeep,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,1.125
HEK,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,6,LTshallow,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0.666666667
HEK,6,LTdeep,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,3.5
HEK,7,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,8,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HEK,8,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
NTS,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
NTS,5,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.2
NTS,6,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
NTS,6,LTdeep,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.333333333
NTS,7,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.142857143
NTS,7,LTdeep,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.285714286
NTS,8,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
NTS,8,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.125
PEP,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PEP,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PEP,6,LTshallow,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,4.166666667
PEP,6,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.166666667
PEP,7,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.142857143
PEP,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PEP,8,LTshallow,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.25
PEP,8,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,6,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,6,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,7,LTshallow,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,1.571428571
PLQ,7,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PLQ,8,LTshallow,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.125
PLQ,8,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.125
PYR,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,6,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,6,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,7,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
PYR,7,LTdeep,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.142857143
PYR,8,LTshallow,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0.75
PYR,8,LTdeep,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1.25
TAM,5,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
TAM,5,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
TAM,6,LTshallow,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,1.833333333
TAM,6,LT1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0.5
TAM,7,LTshallow,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0.857142857
TAM,7,LTdeep,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,1.714285714
TAM,8,LTshallow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
TAM,8,LTdeep,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
ABY,5,GIL10,17,7,2,8,1,NA,1.224164503,0.504067737,0.144019353,0.576077413,0.072009677,NA
ABY,5,GIL20,25,12,2,11,0,NA,1.883267624,0.903968459,0.15066141,0.828637755,0,NA
ABY,5,GIL30,20,11,4,5,0,NA,1.562262915,0.859244603,0.312452583,0.390565729,0,NA
ABY,6,GIL10,105,28,59,18,0,NA,8.412245613,2.243265497,4.726880868,1.442099248,0,NA
ABY,6,GIL20,10,2,3,5,3,NA,0.827467641,0.165493528,0.248240292,0.413733821,0.248275862,NA
ABY,6,GIL30,1,0,0,1,0,NA,0.082987552,0,0,0.082987552,0,NA
ABY,7,GIL10,73,15,5,53,7,NA,6.656534953,1.367781155,0.455927052,4.832826746,0.638297872,NA
ABY,7,GIL20,0,0,0,0,0,NA,0,0,0,0,0,NA
BLH,5,GIL10,10,4,3,3,0,NA,0.72376357,0.289505428,0.217129071,0.217129071,0,NA
BLH,5,GIL20,14,1,1,12,1,NA,1.072796934,0.076628352,0.076628352,0.91954023,0.076628352,NA
BLH,5,GIL30,13,5,5,3,1,NA,1.056910569,0.406504065,0.406504065,0.243902439,0.081300813,NA
